Atlas	Direct	PKN_filtering	Connect_all	Layer_types	Carnival_types	Steps_numbers	TopDown	Max_length1	Max_length1-2	Max_length1-3	Keep_only_connected	network_id	PKN_time	CARNIVAL_time	nodes	edges	n_components	clust_coeff	diameter	power_law_fit	longest_path_AMPK	longest_path_MTOR	longest_path_Perturbation	quantified_edges	significant_edges	carnival	computation_time	Precision	Recall	TP	FP	TN	RMSE
TRUE	FALSE	FALSE	FALSE	three	vanilla	three_step	NA	NA	NA	2;3;FALSE	NA	Network3663	101.78	19.96	65	131	1	0.102	15	0.066	13	7	NA	29	21	vanilla_three_step	121.74	0.82	0.41	14	3	20	84.01680504168058
FALSE	FALSE	FALSE	FALSE	three	vanilla	three_step	NA	NA	NA	2;3;FALSE	NA	Network3664	72.28	9.65	47	83	1	0.074	8	0.081	3	5	NA	18	9	vanilla_three_step	81.93	0.88	0.41	14	2	20	70.71067811865476
TRUE	TRUE	TRUE	TRUE	three	vanilla	one_step	FALSE	NA	NA	2;3;FALSE	NA	Network3665	90.6	603	84	206	1	0.079	12	0.05	8	10	NA	43	31	vanilla_one_step	693.6	0.76	0.38	13	4	21	97.01425001453319
FALSE	TRUE	TRUE	TRUE	three	vanilla	one_step	FALSE	NA	NA	2;3;FALSE	NA	Network3666	63	9.46	77	182	1	0.131	13	0.102	10	11	NA	35	21	vanilla_one_step	72.46000000000001	0.79	0.44	15	4	19	91.7662935482247
TRUE	FALSE	TRUE	TRUE	three	vanilla	one_step	FALSE	NA	NA	2;3;FALSE	NA	Network3667	92.4	648	96	269	1	0.089	13	0.088	2	6	NA	46	30	vanilla_one_step	740.4	0.67	0.35	12	6	22	104.65313075956102
FALSE	FALSE	TRUE	TRUE	three	vanilla	one_step	FALSE	NA	NA	2;3;FALSE	NA	Network3668	65.4	12.12	79	184	1	0.131	11	0.112	10	9	NA	35	21	vanilla_one_step	77.52000000000001	0.79	0.44	15	4	19	91.7662935482247
TRUE	TRUE	FALSE	TRUE	three	vanilla	one_step	FALSE	NA	NA	2;3;FALSE	NA	Network3669	99.6	152.4	89	230	1	0.114	11	0.066	1	9	NA	47	32	vanilla_one_step	252	0.82	0.41	14	3	20	84.4048754903172
FALSE	TRUE	FALSE	TRUE	three	vanilla	one_step	FALSE	NA	NA	2;3;FALSE	NA	Network3670	71.39999999999999	10.82	77	182	1	0.131	13	0.102	10	11	NA	35	21	vanilla_one_step	82.22	0.79	0.44	15	4	19	91.7662935482247
TRUE	FALSE	FALSE	TRUE	three	vanilla	one_step	FALSE	NA	NA	2;3;FALSE	NA	Network3671	103.2	206.4	89	231	1	0.129	11	0.073	2	9	NA	44	32	vanilla_one_step	309.6	0.81	0.38	13	3	21	86.60254037844386
FALSE	FALSE	FALSE	TRUE	three	vanilla	one_step	FALSE	NA	NA	2;3;FALSE	NA	Network3672	73.2	16.41	81	188	1	0.128	11	0.102	10	9	NA	35	21	vanilla_one_step	89.61	0.79	0.44	15	4	19	91.7662935482247
TRUE	TRUE	TRUE	FALSE	three	vanilla	one_step	FALSE	NA	NA	2;3;FALSE	NA	Network3673	91.2	24.07	76	213	1	0.07	11	0.076	7	4	NA	43	29	vanilla_one_step	115.27	0.82	0.41	14	3	20	90.26780745262516
FALSE	TRUE	TRUE	FALSE	three	vanilla	one_step	FALSE	NA	NA	2;3;FALSE	NA	Network3674	63.6	4.37	49	96	1	0.124	9	0.096	1	6	NA	19	10	vanilla_one_step	67.97	0.87	0.38	13	2	21	73.02967433402215
