UNIPROT	gene_name	significant	logpval	difference
Q8VDH1	Fbxo21	+	0.00214815	-1.27818
Q8VDI7	Ubac1	+	0.0974284	0.352257
Q8VDI9	Alg9	+	0.0661526	0.550388
Q8VDJ3	Hdlbp	+	0.00282927	-0.753357
Q8VDK1	Nit1	+	0.0561871	0.41658
Q8VDL4	Adpgk	NA	0.761665	0.0830631
Q8VDM4	Psmd2	NA	0.583747	-0.0944824
Q8VDM6	Hnrnpul1	+	0.0221682	0.49184
Q8VDN2	Atp1a1	+	0.0189766	0.340171
Q8VDP3	Mical1	NA	0.709549	-0.39331
Q8VDP4	Ccar2	+	0.0525312	0.243207
Q8VDP6	Cdipt	+	0.0317298	0.50957
Q8VDQ1	Ptgr2	NA	0.831321	1.03863
Q8VDQ8	Sirt2	NA	0.248124	0.22119
Q8VDS4	Rprd1a	NA	0.831155	0.516504
Q8VDS8	Stx18	NA	0.830989	0.591491
Q8VDT9	Mrpl50	NA	1	0
Q8VDV8	Mitd1	NA	0.155314	0.420381
Q8VDW0	Ddx39a	+	0.0228686	0.425157
